"Condition","Subj","Block","Good","Total"
1,"sub_114",4,20,20
1,"sub_114",5,7,20
1,"sub_121",1,8,20
1,"sub_121",2,12,20
1,"sub_121",3,8,20
1,"sub_121",4,9,20
1,"sub_121",5,9,20
1,"sub_123",1,7,20
1,"sub_123",2,14,20
1,"sub_123",3,16,20
1,"sub_123",4,20,20
1,"sub_123",5,18,20
1,"sub_126",1,11,20
1,"sub_126",2,11,20
1,"sub_126",3,11,20
1,"sub_126",4,12,20
1,"sub_126",5,11,20
1,"sub_130",1,8,20
1,"sub_130",2,15,20
1,"sub_130",3,19,20
1,"sub_130",4,20,20
1,"sub_130",5,18,20
1,"sub_133",1,9,20
1,"sub_133",2,12,20
1,"sub_133",3,14,20
1,"sub_133",4,11,20
1,"sub_133",5,11,20
1,"sub_136",1,10,20
1,"sub_136",2,10,20
1,"sub_136",3,10,20
1,"sub_136",4,7,20
1,"sub_136",5,10,20
1,"sub_139",1,5,20
1,"sub_139",2,14,20
1,"sub_139",3,19,20
1,"sub_139",4,20,20
1,"sub_139",5,20,20
1,"sub_141",1,8,20
1,"sub_141",2,9,20
1,"sub_141",3,10,20
1,"sub_141",4,10,20
1,"sub_141",5,11,20
1,"sub_144",1,4,20
1,"sub_144",2,10,20
1,"sub_144",3,14,20
1,"sub_144",4,10,20
1,"sub_144",5,14,20
1,"sub_148",1,12,20
1,"sub_148",2,14,20
1,"sub_148",3,15,20
1,"sub_148",4,16,20
1,"sub_148",5,16,20
2,"sub_002",1,8,20
2,"sub_002",2,13,20
2,"sub_002",3,13,20
2,"sub_002",4,14,20
2,"sub_002",5,14,20
2,"sub_004",1,9,20
2,"sub_004",2,11,20
2,"sub_004",3,19,20
2,"sub_004",4,18,20
2,"sub_004",5,15,20
2,"sub_008",1,6,20
2,"sub_008",2,7,20
2,"sub_008",3,13,20
2,"sub_008",4,13,20
2,"sub_008",5,13,20
2,"sub_011",1,4,20
2,"sub_011",2,12,20
2,"sub_011",3,9,20
2,"sub_011",4,15,20
2,"sub_011",5,19,20
2,"sub_015",1,8,20
2,"sub_015",2,9,20
2,"sub_015",3,9,20
2,"sub_015",4,4,20
2,"sub_015",5,9,20
2,"sub_016",1,2,20
2,"sub_016",2,7,20
2,"sub_016",3,6,20
2,"sub_016",4,3,20
2,"sub_016",5,2,20
2,"sub_019",1,6,20
2,"sub_019",2,16,20
2,"sub_019",3,16,20
2,"sub_019",4,14,20
2,"sub_019",5,8,20
2,"sub_022",1,11,20
2,"sub_022",2,11,20
2,"sub_022",3,14,20
2,"sub_022",4,15,20
2,"sub_022",5,15,20
2,"sub_025",1,4,20
2,"sub_025",2,10,20
2,"sub_025",3,13,20
2,"sub_025",4,12,20
2,"sub_025",5,14,20
2,"sub_029",1,10,20
2,"sub_029",2,10,20
2,"sub_029",3,9,20
2,"sub_029",4,10,20
2,"sub_029",5,14,20
2,"sub_034",1,8,20
2,"sub_034",2,11,20
2,"sub_034",3,12,20
2,"sub_034",4,9,20
2,"sub_034",5,12,20
2,"sub_036",1,8,20
2,"sub_036",2,12,20
2,"sub_036",3,11,20
2,"sub_036",4,9,20
2,"sub_036",5,9,20
2,"sub_038",1,9,20
2,"sub_038",2,9,20
2,"sub_038",3,14,20
2,"sub_038",4,13,20
2,"sub_038",5,16,20
2,"sub_042",1,14,20
2,"sub_042",2,17,20
2,"sub_042",3,20,20
2,"sub_042",4,9,20
2,"sub_042",5,13,20
2,"sub_044",1,6,20
2,"sub_044",2,11,20
2,"sub_044",3,17,20
2,"sub_044",4,17,20
2,"sub_044",5,19,20
2,"sub_047",1,11,20
2,"sub_047",2,9,20
2,"sub_047",3,18,20
2,"sub_047",4,20,20
2,"sub_047",5,17,20
2,"sub_051",1,3,20
2,"sub_051",2,3,20
2,"sub_051",3,7,20
2,"sub_051",4,11,20
2,"sub_051",5,18,20
2,"sub_054",1,8,20
2,"sub_054",2,8,20
2,"sub_054",3,7,20
2,"sub_054",4,8,20
2,"sub_054",5,6,20
2,"sub_055",1,10,20
2,"sub_055",2,13,20
2,"sub_055",3,12,20
2,"sub_055",4,16,20
2,"sub_055",5,14,20
2,"sub_060",1,8,20
2,"sub_060",2,12,20
2,"sub_060",3,16,20
2,"sub_060",4,11,20
2,"sub_060",5,17,20
2,"sub_063",1,12,20
2,"sub_063",2,6,20
2,"sub_063",3,15,20
2,"sub_063",4,18,20
2,"sub_063",5,20,20
2,"sub_064",1,11,20
2,"sub_064",2,10,20
2,"sub_064",3,11,20
2,"sub_064",4,11,20
2,"sub_064",5,10,20
2,"sub_069",1,9,20
2,"sub_069",2,8,20
2,"sub_069",3,9,20
2,"sub_069",4,13,20
2,"sub_069",5,9,20
2,"sub_072",1,14,20
2,"sub_072",2,13,20
2,"sub_072",3,15,20
2,"sub_072",4,15,20
2,"sub_072",5,16,20
2,"sub_074",1,10,20
2,"sub_074",2,17,20
2,"sub_074",3,7,20
2,"sub_074",4,17,20
2,"sub_074",5,16,20
2,"sub_076",1,10,20
2,"sub_076",2,12,20
2,"sub_076",3,12,20
2,"sub_076",4,15,20
2,"sub_076",5,8,20
2,"sub_080",1,12,20
2,"sub_080",2,10,20
2,"sub_080",3,8,20
2,"sub_080",4,14,20
2,"sub_080",5,7,20
2,"sub_084",1,9,20
2,"sub_084",2,8,20
2,"sub_084",3,13,20
2,"sub_084",4,7,20
2,"sub_084",5,9,20
2,"sub_085",1,6,20
2,"sub_085",2,13,20
2,"sub_085",3,14,20
2,"sub_085",4,17,20
2,"sub_085",5,19,20
2,"sub_089",1,8,20
2,"sub_089",2,12,20
2,"sub_089",3,11,20
2,"sub_089",4,20,20
2,"sub_089",5,13,20
2,"sub_092",1,5,20
2,"sub_092",2,6,20
2,"sub_092",3,7,20
2,"sub_092",4,7,20
2,"sub_092",5,11,20
2,"sub_096",1,10,20
2,"sub_096",2,11,20
2,"sub_096",3,15,20
2,"sub_096",4,18,20
2,"sub_096",5,14,20
2,"sub_101",1,11,20
2,"sub_101",2,12,20
2,"sub_101",3,13,20
2,"sub_101",4,14,20
2,"sub_101",5,13,20
2,"sub_105",1,8,20
2,"sub_105",2,12,20
2,"sub_105",3,16,20
2,"sub_105",4,8,20
2,"sub_105",5,13,20
2,"sub_107",1,2,20
2,"sub_107",2,10,20
2,"sub_107",3,6,20
2,"sub_107",4,0,20
2,"sub_107",5,2,20
2,"sub_112",1,12,20
2,"sub_112",2,12,20
2,"sub_112",3,17,20
2,"sub_112",4,13,20
2,"sub_112",5,11,20
2,"sub_115",1,7,20
2,"sub_115",2,17,20
2,"sub_115",3,9,20
2,"sub_115",4,20,20
2,"sub_115",5,20,20
2,"sub_117",1,11,20
2,"sub_117",2,13,20
2,"sub_117",3,16,20
2,"sub_117",4,17,20
2,"sub_117",5,19,20
2,"sub_118",1,7,20
2,"sub_118",2,11,20
2,"sub_118",3,15,20
2,"sub_118",4,20,20
2,"sub_118",5,19,20
2,"sub_122",1,14,20
2,"sub_122",2,8,20
2,"sub_122",3,11,20
2,"sub_122",4,20,20
2,"sub_122",5,8,20
2,"sub_127",1,3,20
2,"sub_127",2,9,20
2,"sub_127",3,15,20
2,"sub_127",4,16,20
2,"sub_127",5,20,20
2,"sub_131",1,9,20
2,"sub_131",2,5,20
2,"sub_131",3,18,20
2,"sub_131",4,20,20
2,"sub_131",5,18,20
2,"sub_134",1,9,20
2,"sub_134",2,11,20
2,"sub_134",3,10,20
2,"sub_134",4,8,20
2,"sub_134",5,11,20
2,"sub_137",1,11,20
2,"sub_137",2,9,20
2,"sub_137",3,10,20
2,"sub_137",4,11,20
2,"sub_137",5,10,20
2,"sub_140",1,10,20
2,"sub_140",2,10,20
2,"sub_140",3,11,20
2,"sub_140",4,11,20
2,"sub_140",5,12,20
2,"sub_142",1,10,20
2,"sub_142",2,10,20
2,"sub_142",3,13,20
2,"sub_142",4,20,20
2,"sub_142",5,20,20
2,"sub_145",1,10,20
2,"sub_145",2,10,20
2,"sub_145",3,14,20
2,"sub_145",4,13,20
2,"sub_145",5,7,20
2,"sub_149",1,13,20
2,"sub_149",2,10,20
2,"sub_149",3,11,20
2,"sub_149",4,13,20
2,"sub_149",5,13,20
3,"sub_005",1,6,20
3,"sub_005",2,11,20
3,"sub_005",3,13,20
3,"sub_005",4,13,20
3,"sub_005",5,13,20
3,"sub_006",1,4,20
3,"sub_006",2,12,20
3,"sub_006",3,5,20
3,"sub_006",4,20,20
3,"sub_006",5,20,20
3,"sub_010",1,6,20
3,"sub_010",2,14,20
3,"sub_010",3,17,20
3,"sub_010",4,19,20
3,"sub_010",5,14,20
3,"sub_012",1,3,20
3,"sub_012",2,15,20
3,"sub_012",3,16,20
3,"sub_012",4,16,20
3,"sub_012",5,16,20
3,"sub_017",1,7,20
3,"sub_017",2,7,20
3,"sub_017",3,2,20
3,"sub_017",4,4,20
3,"sub_017",5,7,20
3,"sub_020",1,6,20
3,"sub_020",2,7,20
3,"sub_020",3,2,20
3,"sub_020",4,5,20
3,"sub_020",5,20,20
3,"sub_023",1,8,20
3,"sub_023",2,14,20
3,"sub_023",3,15,20
3,"sub_023",4,11,20
3,"sub_023",5,7,20
3,"sub_026",1,5,20
3,"sub_026",2,6,20
3,"sub_026",3,13,20
3,"sub_026",4,12,20
3,"sub_026",5,10,20
3,"sub_027",1,6,20
3,"sub_027",2,9,20
3,"sub_027",3,9,20
3,"sub_027",4,11,20
3,"sub_027",5,11,20
3,"sub_032",1,4,20
3,"sub_032",2,12,20
3,"sub_032",3,5,20
3,"sub_032",4,9,20
3,"sub_032",5,9,20
3,"sub_035",1,5,20
3,"sub_035",2,4,20
3,"sub_035",3,3,20
3,"sub_035",4,12,20
3,"sub_035",5,14,20
3,"sub_037",1,2,20
3,"sub_037",2,9,20
3,"sub_037",3,16,20
3,"sub_037",4,18,20
3,"sub_037",5,8,20
3,"sub_039",1,9,20
3,"sub_039",2,9,20
3,"sub_039",3,12,20
3,"sub_039",4,8,20
3,"sub_039",5,13,20
3,"sub_043",1,10,20
3,"sub_043",2,10,20
3,"sub_043",3,13,20
3,"sub_043",4,13,20
3,"sub_043",5,13,20
3,"sub_045",1,10,20
3,"sub_045",2,12,20
3,"sub_045",3,17,20
3,"sub_045",4,20,20
3,"sub_045",5,20,20
3,"sub_048",1,8,20
3,"sub_048",2,11,20
3,"sub_048",3,14,20
3,"sub_048",4,18,20
3,"sub_048",5,19,20
3,"sub_052",1,12,20
3,"sub_052",2,11,20
3,"sub_052",3,15,20
3,"sub_052",4,17,20
3,"sub_052",5,16,20
3,"sub_056",1,3,20
3,"sub_056",2,8,20
3,"sub_056",3,4,20
3,"sub_056",4,4,20
3,"sub_056",5,9,20
3,"sub_058",1,11,20
3,"sub_058",2,7,20
3,"sub_058",3,11,20
3,"sub_058",4,10,20
3,"sub_058",5,8,20
3,"sub_061",1,9,20
3,"sub_061",2,13,20
3,"sub_061",3,12,20
3,"sub_061",4,11,20
3,"sub_061",5,14,20
3,"sub_065",1,8,20
3,"sub_065",2,16,20
3,"sub_065",3,14,20
3,"sub_065",4,18,20
3,"sub_065",5,17,20
3,"sub_066",1,10,20
3,"sub_066",2,5,20
3,"sub_066",3,6,20
3,"sub_066",4,5,20
3,"sub_066",5,6,20
3,"sub_070",1,9,20
3,"sub_070",2,11,20
3,"sub_070",3,13,20
3,"sub_070",4,9,20
3,"sub_070",5,10,20
3,"sub_073",1,7,20
3,"sub_073",2,12,20
3,"sub_073",3,1,20
3,"sub_073",4,10,20
3,"sub_073",5,14,20
3,"sub_077",1,5,20
3,"sub_077",2,3,20
3,"sub_077",3,9,20
3,"sub_077",4,11,20
3,"sub_077",5,15,20
3,"sub_078",1,12,20
3,"sub_078",2,12,20
3,"sub_078",3,12,20
3,"sub_078",4,9,20
3,"sub_078",5,15,20
3,"sub_081",1,7,20
3,"sub_081",2,12,20
3,"sub_081",3,10,20
3,"sub_081",4,8,20
3,"sub_081",5,12,20
3,"sub_086",1,5,20
3,"sub_086",2,13,20
3,"sub_086",3,0,20
3,"sub_086",4,15,20
3,"sub_086",5,16,20
3,"sub_087",1,11,20
3,"sub_087",2,11,20
3,"sub_087",3,12,20
3,"sub_087",4,10,20
3,"sub_087",5,9,20
3,"sub_091",1,13,20
3,"sub_091",2,3,20
3,"sub_091",3,14,20
3,"sub_091",4,6,20
3,"sub_091",5,16,20
3,"sub_093",1,8,20
3,"sub_093",2,11,20
3,"sub_093",3,6,20
3,"sub_093",4,3,20
3,"sub_093",5,12,20
3,"sub_097",1,11,20
3,"sub_097",2,6,20
3,"sub_097",3,6,20
3,"sub_097",4,3,20
3,"sub_097",5,14,20
3,"sub_099",1,12,20
3,"sub_099",2,13,20
3,"sub_099",3,16,20
3,"sub_099",4,17,20
3,"sub_099",5,14,20
3,"sub_103",1,12,20
3,"sub_103",2,11,20
3,"sub_103",3,10,20
3,"sub_103",4,17,20
3,"sub_103",5,11,20
3,"sub_108",1,6,20
3,"sub_108",2,11,20
3,"sub_108",3,6,20
3,"sub_108",4,14,20
3,"sub_108",5,14,20
3,"sub_110",1,10,20
3,"sub_110",2,10,20
3,"sub_110",3,11,20
3,"sub_110",4,9,20
3,"sub_110",5,10,20
3,"sub_113",1,8,20
3,"sub_113",2,9,20
3,"sub_113",3,12,20
3,"sub_113",4,9,20
3,"sub_113",5,11,20
3,"sub_116",1,12,20
3,"sub_116",2,11,20
3,"sub_116",3,15,20
3,"sub_116",4,10,20
3,"sub_116",5,18,20
3,"sub_119",1,7,20
3,"sub_119",2,12,20
3,"sub_119",3,10,20
3,"sub_119",4,14,20
3,"sub_119",5,13,20
3,"sub_120",1,8,20
3,"sub_120",2,8,20
3,"sub_120",3,5,20
3,"sub_120",4,7,20
3,"sub_120",5,15,20
3,"sub_124",1,12,20
3,"sub_124",2,10,20
3,"sub_124",3,9,20
3,"sub_124",4,10,20
3,"sub_124",5,13,20
3,"sub_125",1,4,20
3,"sub_125",2,16,20
3,"sub_125",3,20,20
3,"sub_125",4,19,20
3,"sub_125",5,20,20
3,"sub_128",1,10,20
3,"sub_128",2,10,20
3,"sub_128",3,13,20
3,"sub_128",4,12,20
3,"sub_128",5,14,20
3,"sub_129",1,9,20
3,"sub_129",2,12,20
3,"sub_129",3,10,20
3,"sub_129",4,12,20
3,"sub_129",5,10,20
3,"sub_132",1,7,20
3,"sub_132",2,10,20
3,"sub_132",3,11,20
3,"sub_132",4,12,20
3,"sub_132",5,8,20
3,"sub_135",1,6,20
3,"sub_135",2,17,20
3,"sub_135",3,18,20
3,"sub_135",4,16,20
3,"sub_135",5,17,20
3,"sub_138",1,7,20
3,"sub_138",2,16,20
3,"sub_138",3,17,20
3,"sub_138",4,13,20
3,"sub_138",5,20,20
3,"sub_143",1,8,20
3,"sub_143",2,12,20
3,"sub_143",3,11,20
3,"sub_143",4,11,20
3,"sub_143",5,17,20
3,"sub_146",1,10,20
3,"sub_146",2,11,20
3,"sub_146",3,11,20
3,"sub_146",4,16,20
3,"sub_146",5,17,20
