"","Group","Subj","Numerosity","RT"
"80","A","s_9",8,1900.75459195123
"81","A","s_9",9,2521.70442933828
"82","A","s_10",1,590.999343760072
"83","A","s_10",2,540.363983330951
"84","A","s_10",3,598.712740560801
"85","A","s_10",4,678.735681458324
"86","A","s_10",5,916.251336148386
"87","A","s_10",6,1352.09472960453
"88","A","s_10",7,1858.86339578038
"89","A","s_10",8,2027.02056971286
"90","A","s_10",9,2665.03380710859
"91","A","s_11",1,565.765449150245
"92","A","s_11",2,546.535289008118
"93","A","s_11",3,622.378550149665
"94","A","s_11",4,782.609714043438
"95","A","s_11",5,1285.11881492649
"96","A","s_11",6,1320.09514648425
"97","A","s_11",7,1853.03363940537
"98","A","s_11",8,2180.93430172616
"99","A","s_11",9,2462.43942736127
"100","A","s_12",1,537.088760891038
"101","A","s_12",2,507.359549655456
"102","A","s_12",3,539.878970199999
"103","A","s_12",4,659.336486183747
"104","A","s_12",5,871.590897679389
"105","A","s_12",6,1267.45108915604
"106","A","s_12",7,1386.18100915569
"107","A","s_12",8,1681.47551716569
"108","A","s_12",9,1983.014109137
"109","A","s_13",1,602.699810415231
"110","A","s_13",2,575.117911047564
"111","A","s_13",3,553.716490931682
"112","A","s_13",4,618.772129191029
"113","A","s_13",5,773.208601103124
"114","A","s_13",6,869.592797349733
"115","A","s_13",7,1218.02529538653
"116","A","s_13",8,1480.05394582654
"117","A","s_13",9,1579.75048152415
"118","A","s_14",1,639.448960826054
"119","A","s_14",2,602.69858706574
"120","A","s_14",3,720.536432256124
"121","A","s_14",4,826.497185411224
"122","A","s_14",5,1068.13289318355
"123","A","s_14",6,1550.78932935516
"124","A","s_14",7,2063.30180051157
"125","A","s_14",8,1980.28092640789
"126","A","s_14",9,2430.3256869789
"127","A","s_15",1,522.87222414062
"128","A","s_15",2,477.180121843419
"129","A","s_15",3,546.140796969288
"130","A","s_15",4,793.957288377908
"131","A","s_15",5,1141.28576369935
"132","A","s_15",6,1572.01380647422
"133","A","s_15",7,1806.97039209877
"134","A","s_15",8,2132.35066051974
"135","A","s_15",9,2365.29187516384
"136","A","s_16",1,494.522048797439
"137","A","s_16",2,526.65795809552
"138","A","s_16",3,634.391820932515
"139","A","s_16",4,652.813536627516
"140","A","s_16",5,976.553101434714
"141","A","s_16",6,1031.33136126421
"142","A","s_16",7,1349.80458503495
"143","A","s_16",8,1643.70882010093
"144","A","s_16",9,1820.213467699
"145","A","s_17",1,588.707276585458
"146","A","s_17",2,549.221346637368
"147","A","s_17",3,595.303048185724
"148","A","s_17",4,654.892597576164
"149","A","s_17",5,830.488807862412
"150","A","s_17",6,797.530386648866
"151","A","s_17",7,1113.00242317869
"152","A","s_17",8,1307.63239378843
"153","A","s_17",9,1593.91501131505
"154","A","s_18",1,500.664750137539
"155","A","s_18",2,495.198036221791
"156","A","s_18",3,535.486520821249
"157","A","s_18",4,584.71216461314
"158","A","s_18",5,812.737127750643
"159","A","s_18",6,1036.83089330546
"160","A","s_18",7,1331.25637193568
"161","A","s_18",8,1490.42446264792
"162","A","s_18",9,1697.49093525828
"163","A","s_19",1,510.442675779397
"164","A","s_19",2,518.113552851362
"165","A","s_19",3,547.93060438927
"166","A","s_19",4,673.875575695977
"167","A","s_19",5,815.329834060028
"168","A","s_19",6,1163.11629502447
"169","A","s_19",7,1237.41422100272
"170","A","s_19",8,1804.08389364123
"171","A","s_19",9,1956.0712840113
"172","A","s_20",1,497.758667259518
"173","A","s_20",2,459.231162009625
"174","A","s_20",3,522.543178269621
"175","A","s_20",4,667.046710390399
"176","A","s_20",5,847.40329631432
"177","A","s_20",6,1142.86268826948
